siret,siren,activitePrincipaleEtablissement,numeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,etatAdministratifEtablissement
04207020100019,042070201,81.10Z,17,CHEMIN,DES ACACIAS,38240,MEYLAN,A
04207505100013,042075051,81.10Z,1,RUE,ROBERT DUBARLE,38000,GRENOBLE,A
04035062100013,040350621,81.10Z,13,PLACE,EXELMANS,55000,BAR-LE-DUC,A
03910799000010,039107990,81.10Z,40,AVENUE,PARMENTIER,75011,PARIS,A
03916623600016,039166236,81.10Z,114,AVENUE,DE LA REPUBLIQUE,94300,VINCENNES,A
01982783100017,019827831,81.10Z,18,BOULEVARD,DU MARECHAL JOFFRE,06310,BEAULIEU-SUR-MER,A
03917713400010,039177134,81.10Z,25,AVENUE,JEAN MOULIN,75014,PARIS,A
02405765500037,024057655,47.64Z,25,AVENUE,MARTIN LUTHER KING,97600,MAMOUDZOU,A
00991659400014,009916594,81.10Z,34,SQUARE,DU GRAND PLACIS,35700,RENNES,A
02152418600018,021524186,81.10Z,391,BOULEVARD,ROMAIN ROLLAND,13009,MARSEILLE,A
03933751400010,039337514,81.10Z,12,RUE,PAUL ALBERT,75018,PARIS,A
03842948600012,038429486,81.10Z,3,RUE,D'EISENSTADT,68000,COLMAR,A
03911753600019,039117536,81.10Z,50,RUE,LETORT,75018,PARIS,A
03926317300013,039263173,81.10Z,5,AVENUE,INGRES,75016,PARIS,A
03896569500018,038965695,81.10Z,205,RUE,SAINT-HONORE,75001,PARIS,A
03889586800016,038895868,81.10Z,205,RUE,SAINT-HONORE,75001,PARIS,A
03702124300011,037021243,56.10A,,RTE,DE SAINT PAUL,06270,VILLENEUVE-LOUBET,A
03969603400014,039696034,81.10Z,2,RUE,DU FOREZ,42660,SAINT-GENEST-MALIFAUX,A
02581209000014,025812090,68.20B,96,COURS,VICTOR HUGO,47000,AGEN,A
03279134500013,032791345,81.10Z,32,RUE,MARCELIN BERTHELOT,33200,BORDEAUX,A
03869599500019,038695995,81.10Z,29,RUE,DU GENERAL LECLERC,92270,BOIS-COLOMBES,A
04054158300015,040541583,81.10Z,516,RUE,D’ANSE,69400,VILLEFRANCHE-SUR-SAONE,A
03891905600010,038919056,81.10Z,3,GRANDE RUE,CHARLES DE GAULLE,94130,NOGENT-SUR-MARNE,A
03970205500011,039702055,81.10Z,10,RUE,DESIRE CLAUDE,42100,SAINT-ETIENNE,A
03917306700016,039173067,81.10Z,117,BOULEVARD,DE CHAMPIGNY,94210,SAINT-MAUR-DES-FOSSES,A
03945375800011,039453758,81.10Z,9,RUE,DU SQUARE,74000,ANNECY,A
03908942000010,039089420,81.10Z,15,AVENUE,MAC-MAHON,75017,PARIS,A
03898749100016,038987491,81.10Z,9,RUE,LALO,75016,PARIS,A
03893067300017,038930673,81.10Z,5,RUE,CACHEUX,92400,COURBEVOIE,A
03875383600014,038753836,81.10Z,159,RUE,PELLEPORT,75020,PARIS,A
03892215900017,038922159,81.10Z,35,RUE,GABRIELLE,94220,CHARENTON-LE-PONT,A
03970553800013,039705538,81.10Z,15,PLACE,JEAN JAURES,42000,SAINT-ETIENNE,A
01725112500088,017251125,08.12Z,,,,21700,VILLERS-LA-FAYE,A
03933003000014,039330030,81.10Z,34,RUE,DE LIEGE,75008,PARIS,A
03911805400012,039118054,81.10Z,55,AVENUE,SIMON BOLIVAR,75019,PARIS,A
03910398100013,039103981,81.10Z,13,AVENUE,DE LA MOTTE-PICQUET,75007,PARIS,A
01984671600017,019846716,81.10Z,9,RUE,JOSEPH FRICERO,06000,NICE,A
00971901400012,009719014,81.10Z,40,BOULEVARD,JULES GUESDE,10000,TROYES,A
04008101000015,040081010,81.10Z,31,BOULEVARD,DE L'EUROPE (OULLINS),69600,OULLINS-PIERRE-BENITE,A
03925412300027,039254123,81.10Z,24,AVENUE,DE SAXE,75007,PARIS,A
03889854000018,038898540,81.10Z,57,RUE,HOCHE,93500,PANTIN,A
03927367700011,039273677,81.10Z,7,RUE,LEON JOST,75017,PARIS,A
03931446300017,039314463,81.10Z,22,RUE,D'ALLERAY,75015,PARIS,A
03911116600011,039111166,81.10Z,34,RUE,DE LIEGE,75008,PARIS,A
03898597400013,038985974,81.10Z,2,RUE,DE LA PEPINIERE,75008,PARIS,A
03899144400019,038991444,81.10Z,12,AVENUE,DE LA GRANDE ARMEE,75017,PARIS,A
03885670400010,038856704,81.10Z,12,BOULEVARD,DES SABLONS,92200,NEUILLY-SUR-SEINE,A
04047320900019,040473209,81.10Z,8,RUE,NORMANDIE NIEMEN,01100,OYONNAX,A
03936304900014,039363049,81.10Z,52,RUE,ETIENNE MARCEL,75002,PARIS,A
03870052200014,038700522,81.10Z,18,RUE,DE BERNE,75008,PARIS,A
03874616000019,038746160,81.10Z,35,RUE,BELLIARD,75018,PARIS,A
01956437600010,019564376,81.10Z,,,,05560,VARS,A
03724066000029,037240660,68.20A,[ND],[ND],[ND],[ND],SALANS,A
03871928200014,038719282,81.10Z,217,RUE,DU FAUBOURG SAINT-HONORE,75008,PARIS,A
04013037900015,040130379,81.10Z,7,QUAI,CLEMENCEAU,69300,CALUIRE-ET-CUIRE,A
03930861400013,039308614,81.10Z,54,RUE,TAITBOUT,75009,PARIS,A
02405995800017,024059958,49.32Z,515,RTE,NATIONALE 1,97630,MTSAMBORO,A
03884542600014,038845426,81.10Z,81,ALLEE,DANIELLE CASANOVA,93320,LES PAVILLONS-SOUS-BOIS,A
03907017200018,039070172,81.10Z,49,AVENUE,DE LA REPUBLIQUE,75011,PARIS,A
04012541100013,040125411,81.10Z,18,RUE,FELIX JACQUIER,69006,LYON,A
03915417400013,039154174,81.10Z,3,RUE,SAINT-LOUIS EN L'ILE,75004,PARIS,A
01983573500010,019835735,81.10Z,120,AVENUE,DE LA CALIFORNIE,06200,NICE,A
03917128500016,039171285,81.10Z,7,RUE,JEAN DUTILLOY,92600,ASNIERES-SUR-SEINE,A
02196413500012,021964135,81.10Z,,,GRAND RUE,84420,PIOLENC,A
03907203800019,039072038,81.10Z,182,RUE,DE RIVOLI,75001,PARIS,A
03904250200011,039042502,81.10Z,8,RUE,EMILE ALLEZ,75017,PARIS,A
03858672300017,038586723,81.10Z,15,RUE,DE L'ESPERANCE,67400,ILLKIRCH-GRAFFENSTADEN,A
02152215600013,021522156,81.10Z,,BOULEVARD,PIOT,13008,MARSEILLE,A
03906345800010,039063458,81.10Z,123,RUE,LEGENDRE,75017,PARIS,A
03871008300015,038710083,81.10Z,14,BOULEVARD,MONTMARTRE,75009,PARIS,A
00731014700017,007310147,68.20B,13,PL,DU GAL LECLERC,80120,RUE,A
03888261900018,038882619,81.10Z,7,RUE,DE LA SURINTENDANCE,78100,SAINT-GERMAIN-EN-LAYE,A
03881444800015,038814448,81.10Z,17,RUE,DES URSULINES,93200,SAINT-DENIS,A
03918757000013,039187570,81.10Z,20,RUE,EDOUARD NORTIER,92200,NEUILLY-SUR-SEINE,A
00724053400029,007240534,01.42Z,,,COL ST JEAN,04140,MONTCLAR,A
02101328900018,021013289,81.10Z,48,AVENUE,GAMBETTA,83400,HYERES,A
03910438500016,039104385,81.10Z,28,RUE,DE LA CLEF,75005,PARIS,A
02406562500014,024065625,43.12A,,,ZI KAWENI,97600,MAMOUDZOU,A
03870558800010,038705588,81.10Z,14,RUE,BOTZARIS,75019,PARIS,A
00677019200034,006770192,68.20B,27,RUE,DES GREBES,44510,LE POULIGUEN,A
04009297500016,040092975,81.10Z,84,RUE,BECHEVELIN,69007,LYON,A
03910124100014,039101241,81.10Z,102,RUE,DES DAMES,75017,PARIS,A
03906576800010,039065768,81.10Z,26,RUE,HENRI ROCHEFORT,75017,PARIS,A
03857998300016,038579983,81.10Z,12,RUE,DES CIGALES,67500,HAGUENAU,A
03905640300015,039056403,81.10Z,54,RUE,DAGUERRE,75014,PARIS,A
03891740700017,038917407,81.10Z,166,RUE,DE PARIS,94220,CHARENTON-LE-PONT,A
03876346200017,038763462,81.10Z,71,AVENUE,DE WAGRAM,75017,PARIS,A
03868788500012,038687885,81.10Z,100,RUE,DE BELLEVILLE,75020,PARIS,A
02152514200010,021525142,81.10Z,,CHEMIN,DU BASSIN,13014,MARSEILLE,A
01985587300014,019855873,81.10Z,3,RUE,ROSSINI,06000,NICE,A
03920689100010,039206891,81.10Z,,RUE,GUSTAVE COURBET,75016,PARIS,A
01321823500011,013218235,81.10Z,16,PASSAGE,DE COMPIEGNE,53000,LAVAL,A
03896818600015,038968186,81.10Z,233,RUE,DE CHARENTON,75012,PARIS,A
02101976500011,021019765,81.10Z,183,AVENUE,PIERRE BROSSOLETTE,83300,DRAGUIGNAN,A
03931721900010,039317219,81.10Z,23,AVENUE,FELIX FAURE,75015,PARIS,A
01740768500019,017407685,81.10Z,,QUAI,G CLEMENCEAU,34250,PALAVAS-LES-FLOTS,A
03250038100010,032500381,81.10Z,36,RUE,ROBERT LAURENT,33700,MERIGNAC,A
03905828400017,039058284,81.10Z,78,AVENUE,HENRI MARTIN,75016,PARIS,A
00802165100016,008021651,81.10Z,224,BOULEVARD,DE VANTEAUX,87000,LIMOGES,A
03923191500016,039231915,81.10Z,6,RUE,DE TEHERAN,75008,PARIS,A
03921325100018,039213251,81.10Z,59,BOULEVARD,DE BEAUSEJOUR,75016,PARIS,A
03923414100016,039234141,81.10Z,9,RUE,DE LA DURANCE,75012,PARIS,A
03910535800012,039105358,81.10Z,11,RUE,DES MORILLONS,75015,PARIS,A
03894067200017,038940672,81.10Z,19,RUE,DE LA CONCORDE,92700,COLOMBES,A
03888217100010,038882171,81.10Z,173,RUE,DE COURCELLES,75017,PARIS,A
04009016900018,040090169,81.10Z,10,RUE,BOURNES,69004,LYON,A
03923988400016,039239884,81.10Z,10,RUE,DE CHANTILLY,75009,PARIS,A
03903134900010,039031349,81.10Z,108,BOULEVARD,DE MAGENTA,75010,PARIS,A
03912973900015,039129739,81.10Z,20,RUE,BARBANEGRE,75019,PARIS,A
01977148400011,019771484,81.10Z,7,,POINTE DU CAP MARTIN,06190,ROQUEBRUNE CAP MARTIN,A
00600221600015,006002216,68.20B,56,RUE,DE NANTES,44260,SAVENAY,A
01989923600012,019899236,81.10Z,22,BOULEVARD,RISSO,06300,NICE,A
03908065000011,039080650,81.10Z,393,RUE,DES PYRENEES,75020,PARIS,A
03918426200010,039184262,81.10Z,32,RUE,LAFAYETTE,78000,VERSAILLES,A
03881846400018,038818464,81.10Z,182,RUE,DE VERDUN,94500,CHAMPIGNY-SUR-MARNE,A
03876343900015,038763439,81.10Z,30,RUE,NUNGESSER ET COLI,75116,PARIS,A
03858818200014,038588182,81.10Z,27,RUE,BOECKLIN,67000,STRASBOURG,A
01375138300012,013751383,81.10Z,16,RUE,GENERAL CHARLES DE NANSOUTY,21000,DIJON,A
03842098000013,038420980,81.10Z,10,RUE,DES SAULES,68300,SAINT-LOUIS,A
03906839000010,039068390,81.10Z,3,RUE,DE STOCKHOLM,75008,PARIS,A
03520757000017,035207570,81.10Z,9,RUE,DES ROSES,31500,TOULOUSE,A
03877519300014,038775193,81.10Z,3,RUE,THIERS,78110,LE VESINET,A
03932331600016,039323316,81.10Z,64,RUE,DU RANELAGH,75016,PARIS,A
03920336900010,039203369,81.10Z,98,RUE,HOCHE,92700,COLOMBES,A
03886519200017,038865192,81.10Z,14,,PARTERRE DU CHATEAU,78100,SAINT-GERMAIN-EN-LAYE,A
03927978100015,039279781,81.10Z,7,CITE,CHARLES GODON,75009,PARIS,A
02406271300011,024062713,49.32Z,,RUE,DU COLLEGE FANGALATOURO,97650,M'TSANGAMOUJI,A
04012814200011,040128142,81.10Z,31,RUE,DUGUESCLIN,69006,LYON,A
04007483300019,040074833,81.10Z,127,AVENUE,MARECHAL DE SAXE,69003,LYON,A
03897657700015,038976577,81.10Z,18,RUE,DE MARIGNAN,75008,PARIS,A
03913159400010,039131594,81.10Z,15,BOULEVARD,GOUVION-SAINT-CYR,75017,PARIS,A
01451714800012,014517148,81.10Z,26,RUE,PRESIDENT ROOSEVELT,90000,BELFORT,A
01984421600010,019844216,81.10Z,,AVENUE,DU GRAND CAVALIER,06600,ANTIBES,A
03888405200010,038884052,81.10Z,32,AVENUE,PASTEUR,92400,COURBEVOIE,A
02153566100017,021535661,81.10Z,71,RUE,AUGUSTIN TARDIEU,13200,ARLES,A
03858245800014,038582458,81.10Z,5,RUE,DU BARRAGE,67400,ILLKIRCH-GRAFFENSTADEN,A
03928200900016,039282009,81.10Z,199,RUE,DE CHARENTON,75012,PARIS,A
03937603300013,039376033,81.10Z,4,RUE,DU COMMANDANT RIVIERE,75008,PARIS,A
03876354600017,038763546,81.10Z,29,RUE,DU GENERAL LECLERC,92270,BOIS-COLOMBES,A
03914825900011,039148259,81.10Z,1,RUE,FOURNIER,92110,CLICHY,A
04007242300011,040072423,81.10Z,86,RUE,JEAN SARRAZIN,69008,LYON,A
03970031500011,039700315,81.10Z,12,RUE,FRANCIS GARNIER,42000,SAINT-ETIENNE,A
03897328500018,038973285,81.10Z,7,RUE,CLAUDE CHAHU,75016,PARIS,A
03888015900017,038880159,81.10Z,7,RUE,DE CITEAUX,75012,PARIS,A
04207473200019,042074732,81.10Z,,,IMM LE ROCHAIL,38520,LES DEUX ALPES,A
03900004700017,039000047,81.10Z,108,AVENUE,MOZART,75016,PARIS,A
03929919300027,039299193,68.32A,3,RUE,COGNACQ-JAY,75007,PARIS,A
03916857000016,039168570,81.10Z,7,VILLA,DE LA MARTINIQUE,92100,BOULOGNE-BILLANCOURT,A
03870834300017,038708343,81.10Z,187,RUE,DU FAUBOURG SAINT-DENIS,75010,PARIS,A
01555088200839,015550882,45.31Z,20,RUE,NICOLAS APPERT,51430,TINQUEUX,A
03881177400017,038811774,81.10Z,14,RUE,DE LIEGE,75009,PARIS,A
03892797600019,038927976,81.10Z,9,RUE,SAINT-FLORENTIN,75008,PARIS,A
01645083500018,016450835,70.10Z,8,ROUTE,DU LOGIS,21120,GEMEAUX,A
01979955000017,019799550,81.10Z,25,RUE,DE CHATEAUNEUF,06000,NICE,A
03901612600011,039016126,81.10Z,9,RUE,ONZE NOVEMBRE,93600,AULNAY SOUS BOIS,A
03884666300011,038846663,81.10Z,1,PLACE,REMOIVILLE,94350,VILLIERS-SUR-MARNE,A
01434755300019,014347553,81.10Z,,RUE,DU ROY GONTRAN,71100,CHALON-SUR-SAONE,A
03642060200017,036420602,68.20B,100,CHEMIN,DU VAL DE POME,06410,BIOT,A
03888430000013,038884300,81.10Z,32,AVENUE,PASTEUR,92400,COURBEVOIE,A
03907872000016,039078720,81.10Z,10,RUE,DE LA VEGA,75012,PARIS,A
02408317200015,024083172,47.11B,106,RTE,NATIONALE -MTSAPERE,97600,MAMOUDZOU,A
01994867800016,019948678,81.10Z,8,RUE,DU DOC FIGHIERA,06000,NICE,A
03887023400010,038870234,81.10Z,126,BOULEVARD,SAINT-DENIS,92400,COURBEVOIE,A
03913693200017,039136932,81.10Z,23,RUE,DU ROCHER,75008,PARIS,A
03926688700015,039266887,81.10Z,3,BOULEVARD,DE VAUGIRARD,75015,PARIS,A
03922853100016,039228531,81.10Z,7,RUE,BARYE,75017,PARIS,A
03924774700015,039247747,81.10Z,121,RUE,DE LA POMPE,75016,PARIS,A
03920231200011,039202312,81.10Z,10,AVENUE,AUBERT,94300,VINCENNES,A
03892814900012,038928149,81.10Z,7,RUE,FEROU,75006,PARIS,A
03870083700016,038700837,81.10Z,10,RUE,DE L'ISLY,75008,PARIS,A
03936062300019,039360623,81.10Z,14,RUE,ROLI,75014,PARIS 14,A
01324733300019,013247333,81.10Z,,RUE,DES GOURONNIERES,49100,ANGERS,A
03702063300014,037020633,45.32Z,55,CHEMIN,DE LA CAMPANETTE,06800,CAGNES-SUR-MER,A
03890185600013,038901856,81.10Z,11,ALLEE,DU DOCTEUR BERGONIE,93190,LIVRY-GARGAN,A
03910986300017,039109863,81.10Z,38,AVENUE,HOCHE,75008,PARIS,A
03816895100010,038168951,81.10Z,18,RUE,DE LE NOSTRE,76000,ROUEN,A
03932120300018,039321203,81.10Z,4,RUE,DANTE,75005,PARIS,A
03918342100013,039183421,81.10Z,72,BD,DES CHAMPS ELYSEES,91000,EVRY-COURCOURONNES,A
03931969400012,039319694,81.10Z,24,RUE,GODOT DE MAUROY,75009,PARIS,A
00974744500014,009747445,81.10Z,6,RUE,DE LA COCHARDIERE,35700,RENNES,A
03891484200018,038914842,81.10Z,3,PLACE,CHARLES DIGEON,94160,SAINT-MANDE,A
03876803200013,038768032,81.10Z,21,RUE,LABELONYE,78400,CHATOU,A
03936237100013,039362371,81.10Z,54,RUE,DE LEVIS,75017,PARIS,A
00615010600018,006150106,55.10Z,,,SUPER SAUZE,04400,ENCHASTRAYES,A
03873170900010,038731709,81.10Z,11,RUE,ERNEST RENAN,75015,PARIS,A
03901842900017,039018429,81.10Z,17,BOULEVARD,MALESHERBES,75008,PARIS,A
03928616600010,039286166,81.10Z,81,BOULEVARD,SAINT-MARCEL,75013,PARIS,A
03907227700013,039072277,81.10Z,178,RUE,LEGENDRE,75017,PARIS,A
03884505300016,038845053,81.10Z,18,BD,VICTOR HUGO,78100,SAINT-GERMAIN-EN-LAYE,A
00671142800026,006711428,01.49Z,8,RUE,CARON,80120,VERCOURT,A
03882619400011,038826194,81.10Z,2,RUE,FAYS,94160,SAINT MANDE,A
03842195400017,038421954,81.10Z,28,PLACE,DU PRINTEMPS,68100,MULHOUSE,A
03914026400019,039140264,68.20B,140,RUE,DU FAUBOURG SAINT-HONORE,75008,PARIS,A
03889432500018,038894325,81.10Z,52,AVENUE,DE LA REPUBLIQUE,92120,MONTROUGE,A
